p1,p2,ibd1
AMJI031333,AMJI031334,0.33
AMJI031333,AMJI031335,0.235
AMJI031333,AMJI031336,0
AMJI031333,AMJI031337,0.33
AMJI031333,AMJI031338,0.187
AMJI031333,AMJI031339,0.235
AMJI031333,AMJI031340,0
AMJI031333,AMJI031341,0.33
AMJI031333,AMJI031342,0.33
AMJI031333,AMJI031343,0.139
AMJI031333,AMJI031344,0.139
AMJI031333,AFWO3422,0.091
AMJI031333,AFWO3423,0.33
AMJI031333,AFWO3424,0.091
AMJI031333,AFWO3425,0
AMJI031333,AFWO3426,0.522
AMJI031333,AFWO3427,0.235
AMJI031333,AFWO3428,0.187
AMJI031333,AFWO3429,0.235
AMJI031333,AFWO3430,0.378
AMJI031333,AFWO3431,0.33
AMJI031333,AFWO3432,0
AMJI031333,AFWO3433,0.33
AMJI031333,AFWO3434,0.474
AMJI031333,AFWO3435,0.091
AMJI031333,AFWO3436,0.522
AMJI031333,AFWO3437,0
AMJI031333,AFWO3438,0.187
AMJI031333,AFWO3439,0.426
AMJI031333,AFWO3440,0.378
AMJI031333,AFWO3441,0.426
AMJI031333,AFWO3442,0.426
AMJI031333,AFWO3443,0.426
AMJI031333,AFWO3444,0.378
AMJI031333,AMHA1701,0
AMJI031333,AMHA1702,0.378
AMJI031333,AMHA1703,0.282
AMJI031333,AMHA1704,0
AMJI031333,AMHA1705,0
AMJI031333,AMHA1706,0.187
AMJI031333,AMHA1707,0.378
AMJI031333,AMHA1708,0.33
AMJI031333,AMHA4853,0.282
AMJI031333,AMHA4854,0.187
AMJI031333,AMHA4855,0.043
AMJI031333,AMHA4856,0.043
AMJI031333,AMHA4857,0.33
AMJI031333,TGSH4238,0.091
AMJI031333,AMHA485,0.187
AMJI031333,TGSH4239,0.091
AMJI031333,TGSH4240,0.091
AMJI031333,TGSH4241,0.043
AMJI031333,TGSH4242,0.617
AMJI031333,TGSH4243,0.33
AMJI031333,TGSH4244,0.235
AMJI031333,TGSH4245,0.235
AMJI031333,TGSH4246,0.426
AMJI031333,TGSH4247,0.426
AMJI031333,TGSH4248,0
AMJI031333,TGSH4249,0.187
