"p1","p2","ibd1"
"AMJI031333","TGYE3710",0
"AMJI031333","TGYE3709",0
"AMJI031333","TGYE3708",0.099
"AMJI031333","TGYE3707",0
"AMJI031333","TGYE3706",0
"AMJI031333","TGYE3705",0
"AMJI031333","TGYE3704",0.384
"AMJI031333","TGYE3703",0
"AMJI031333","TGYE3702",0.052
"AMJI031333","TGYE3701",0.336
"AMJI031333","TGYE3700",0
"AMJI031333","TGYE3699",0
"AMJI031333","TGYE3698",0.147
"AMJI031333","TGYE3697",0.241
"AMJI031333","TGYE3696",0.099
"AMJI031333","TGYE3695",0
"AMJI031333","TGYE3694",0
"AMJI031333","TGYE3693",0
"AMJI031333","TGYE3692",0
"AMJI031333","TGYE3691",0.052
"AMJI031333","TGYE3690",0.241
"AMJI031333","TGYE3689",0.099
"AMJI031333","TGSH4258",0.052
"AMJI031333","TGSH4257",0.052
"AMJI031333","TGSH4256",0.099
"AMJI031333","TGSH4255",0.147
"AMJI031333","TGSH4254",0.099
"AMJI031333","TGSH4253",0.336
"AMJI031333","TGSH4252",0.052
"AMJI031333","TGSH4251",0.004
"AMJI031333","TGSH4250",0.431
"AMJI031333","TGSH4249",0.194
"AMJI031333","TGSH4248",0
"AMJI031333","TGSH4247",0.431
"AMJI031333","TGSH4246",0.431
"AMJI031333","TGSH4245",0.241
"AMJI031333","TGSH4244",0.241
"AMJI031333","TGSH4243",0.336
"AMJI031333","TGSH4242",0.621
"AMJI031333","TGSH4241",0.052
"AMJI031333","TGSH4240",0.099
"AMJI031333","TGSH4239",0.099
"AMJI031333","TGSH4238",0.099
"AMJI031333","SNDI071910",0.241
"AMJI031333","SNDI071909",0.526
"AMJI031333","SNDI071908",0.336
"AMJI031333","SNDI071907",0.431
"AMJI031333","SNDI071906",0.194
"AMJI031333","SNDI071905",0.052
"AMJI031333","SNDI071904",0.241
"AMJI031333","SNDI071903",0.384
"AMJI031333","SNDI071902",0.241
"AMJI031333","SNDI071901",0.194
"AMJI031333","SNDI071900",0.099
"AMJI031333","SNDI071899",0.336
"AMJI031333","SNDI071898",0.194
"AMJI031333","SNDI071897",0.052
"AMJI031333","SNDI071896",0.289
"AMJI031333","SNDI071895",0.289
"AMJI031333","SNDI071894",0.431
"AMJI031333","SNDI071893",0.289
"AMJI031333","SNDI071892",0.289
"AMJI031333","SNDI071891",0.289
"AMJI031333","SNDI071889",0.099
"AMJI031333","SNDI071888",0.241
"AMJI031333","SNDI071887",0.194
"AMJI031333","SNDI071886",0
"AMJI031333","SILR5521",0.384
"AMJI031333","SILR5520",0.384
"AMJI031333","SILR5519",0.573
"AMJI031333","SILR5518",0.241
"AMJI031333","SILR5517",0.384
"AMJI031333","SILR5516",0.194
"AMJI031333","SILR5515",0
"AMJI031333","SILR5514",0.384
"AMJI031333","SILR5513",0.004
"AMJI031333","SILR5512",0
"AMJI031333","SILR5511",0.478
"AMJI031333","SILR5510",0.241
"AMJI031333","SILR5509",0
"AMJI031333","SILR5508",0.052
"AMJI031333","SILR5507",0.526
"AMJI031333","SILR5506",0
"AMJI031333","SILR5505",0.241
"AMJI031333","SILR5504",0.431
"AMJI031333","SILR5503",0.052
"AMJI031333","SILR5502",0.147
"AMJI031333","SILR5501",0.099
"AMJI031333","SILR5500",0.099
"AMJI031333","SEBI1592",0.431
"AMJI031333","SEBI1591",0.336
"AMJI031333","SEBI1590",0.241
"AMJI031333","SEBI1589",0.336
"AMJI031333","SEBI1588",0.004
"AMJI031333","SEBI1587",0.241
"AMJI031333","SEBI1586",0.052
"AMJI031333","SEBI1585",0.384
"AMJI031333","SEBI1584",0.289
"AMJI031333","SEBI1583",0.194
"AMJI031333","SEBI1582",0.431
"AMJI031333","SEBI1581",0.194
"AMJI031333","SEBI1580",0.526
"AMJI031333","SEBI1579",0.336
"AMJI031333","SEBI1578",0.241
"AMJI031333","SEBI1577",0.336
"AMJI031333","SEBI1576",0
"AMJI031333","SEBI1575",0.289
"AMJI031333","SEBI1574",0.099
"AMJI031333","SEBI1573",0.004
"AMJI031333","SEBI1572",0.194
"AMJI031333","SEBI1571",0.052
"AMJI031333","SEBI1570",0
"AMJI031333","SEBI1569",0
"AMJI031333","SEBI1568",0.147
"AMJI031333","SEBI1567",0.099
"AMJI031333","SEBI1566",0.147
"AMJI031333","SEBI1565",0.384
"AMJI031333","SEBI1564",0.147
"AMJI031333","SEBI1563",0
"AMJI031333","SEBI1562",0
"AMJI031333","SEBI1561",0
"AMJI031333","SEBI1560",0.099
"AMJI031333","SEBI1559",0.668
"AMJI031333","SEBI1558",0.147
"AMJI031333","SEBI1557",0.147
"AMJI031333","SEBI1556",0.194
"AMJI031333","SEBI1555",0
"AMJI031333","SEBI1554",0
"AMJI031333","SEBI1553",0.478
"AMJI031333","SEBI1552",0.526
"AMJI031333","SEBI1551",0.384
"AMJI031333","SEBI1550",0.573
"AMJI031333","SEBI1549",0.241
"AMJI031333","SEBI1548",0.289
"AMJI031333","SEBI1547",0.289
"AMJI031333","SEBI1546",0.384
"AMJI031333","SEBI1545",0.431
"AMJI031333","SEBI1544",0.241
"AMJI031333","SEBI1543",0.431
"AMJI031333","SEBI1542",0.194
"AMJI031333","SEBI1541",0.194
"AMJI031333","SEBI1540",0.194
"AMJI031333","SEBI1539",0.431
"AMJI031333","SEBI1538",0.336
"AMJI031333","SEBI1537",0.147
