Region,ADM3_EN,District,Sentinel_Site,n
AFAR,Amibara,AMIBARA,WORER H/CENTER,26
AFAR,Dubti,S/L,LOGIYA H/CENTER,96
AFAR,Amibara,WORER,WORER H/CENTER,10
AMHARA,South Wello,ARGOBA,HARBU H/CENTER,1
AMHARA,Bahirdar Zuria,B/Dar,ANDASA H/CENTER,187
AMHARA,Jabi Tehnan,JABIE,JINGA H/CENTER,244
AMHARA,South Wello,KALLU,HARBU H/CENTER,31
AMHARA,South Gondar,WORETA,WORETA H/CENTER,81
Benishangul-Gumuz ,Bambasi,Bambase,BAMBASI H/CENTER,190
CENTRAL-ETHIOPIA,Shone town,E/BAD,QORGA H/CENTER,2
CENTRAL-ETHIOPIA,Shone town,M/BADA,QORGA H/CENTER,59
CENTRAL-ETHIOPIA,Shone town,S/BADA,QORGA H/CENTER,24
DIREDAWA,Legehare,D/DAWA,LEGEHARE H/CENTER,22
DIREDAWA,Legehare,Dire dawa,LEGEHARE H/CENTER,29
GAMBELA,Gog,,ABOL H/CENTER,25
GAMBELA,Gog,Abol,ABOL H/CENTER,12
OROMIA,Ziway Dugda,A/TULU,BATU H/CENTER,1
OROMIA,Ziway Dugda,BATU,BATU H/CENTER,49
OROMIA,Ziway Dugda,GUJII ,BATU H/CENTER,1
OROMIA,Omo Nada,O/N,ASENDABO H/CENTER,137
OROMIA,Ziway Dugda,SHASHA,BATU H/CENTER,1
S-WEST-ETHIOPIA,Mizan Aman town,A/M,MIZAN H/CENTER,1
S-WEST-ETHIOPIA,Mizan Aman town,MIZAN,MIZAN H/CENTER,194
S-WEST-ETHIOPIA,Mizan Aman town,S/B,MIZAN H/CENTER,1
S-WEST-ETHIOPIA,Mizan Aman town,SHERKOLE,MIZAN H/CENTER,1
SIDAMA,Hawassa Zuria,TULLA,GARA RIKATA H/CENTER,35
SIDAMA,Hawassa Zuria,Tule,GARA RIKATA H/CENTER,33
SOUTH-ETHIOPIA,Dila town,DILLA,DILLA  H/CENTER,1
SOUTH-ETHIOPIA,Dila town,DILLA,DILLA H/CENTER,32
SOUTH-ETHIOPIA,Mirab Abaya,M/ABAYA,BIRBIRR H/CENTER,100
TIGRAY,Abergele (TG),Abergele,YECHILA P/HOSPITAL,2
TIGRAY,Abergele (TG),A/Yechila,YECHILA P/HOSPITAL,217
TIGRAY,Abergele (TG),ABIE,YECHILA P/HOSPITAL,1
TIGRAY,Sheraro town,Ademegit,SHERARO H/CENTER,1
TIGRAY,Sheraro town,Adwa,SHERARO H/CENTER,2
TIGRAY,Tsimbla,E/GUNA,ENDABAGUNA H/CENTER,6
TIGRAY,Sheraro town,K/A,SHERARO H/CENTER,1
TIGRAY,Sheraro town,K/H,SHERARO H/CENTER,1
TIGRAY,Sheraro town,K/Sheraro,SHERARO H/CENTER,2
TIGRAY,Sheraro town,K/humon,SHERARO H/CENTER,6
TIGRAY,Sheraro town,K/sheraro,SHERARO H/CENTER,2
TIGRAY,Selekleka,L/kore,SELEKLAKA H/CENTER,92
TIGRAY,Sheraro town,SHERARO,SHERARO H/CENTER,26
TIGRAY,Sheraro town,Sheraro,SHERARO H/CENTER,9
TIGRAY,Sheraro town,T/A,SHERARO H/CENTER,1
TIGRAY,Sheraro town,T/Adyabo,SHERARO H/CENTER,41
TIGRAY,Tsimbla,TSIBLA,ENDABAGUNA H/CENTER,5
TIGRAY,Abergele (TG),Y/A,YECHILA P/HOSPITAL,11
TIGRAY,Sheraro town,humara,SHERARO H/CENTER,2
TIGRAY,Sheraro town,k/humara,SHERARO H/CENTER,2
TIGRAY,Sheraro town,k/humo,SHERARO H/CENTER,1
TIGRAY,Sheraro town,sheraro,SHERARO H/CENTER,19
TIGRAY,Sheraro town,welkait,SHERARO H/CENTER,1
