file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Overall_COI.tsv	C	AFWO3422	1	1	1.9244	1	8.02499999999998
Overall_COI.tsv	C	AFWO3423	1	1	1.84377	1	7.02499999999998
Overall_COI.tsv	C	AFWO3424	3	2	2.58115	2	15
Overall_COI.tsv	C	AFWO3425	1	1	2.00333	1	9
Overall_COI.tsv	C	AFWO3426	1	1	2.28324	1	12
Overall_COI.tsv	C	AFWO3427	2	1	2.12937	1	9
Overall_COI.tsv	C	AFWO3428	1	1	2.12381	1	9.02499999999998
Overall_COI.tsv	C	AFWO3429	2	1	2.85433	1	14
Overall_COI.tsv	C	AFWO3430	1	1	1.96992	1	9
Overall_COI.tsv	C	AFWO3431	1	1	1.90211	1	8
Overall_COI.tsv	C	AFWO3432	1	1	2.01369	1	9
Overall_COI.tsv	C	AFWO3433	2	1	2.28016	1	11
Overall_COI.tsv	C	AFWO3434	1	1	1.98467	1	10
Overall_COI.tsv	C	AFWO3435	1	1	1.76902	1	8
Overall_COI.tsv	C	AFWO3436	1	1	1.58823	1	3.02499999999998
Overall_COI.tsv	C	AFWO3437	3	2	2.53344	2	12
Overall_COI.tsv	C	AFWO3438	2	1	2.62455	1	13
Overall_COI.tsv	C	AFWO3439	6	4.5	3.69141	3	18
Overall_COI.tsv	C	AFWO3440	5	4	3.1918	3	15
Overall_COI.tsv	C	AFWO3441	6	5	4.61716	3	20
Overall_COI.tsv	C	AFWO3442	6	5	3.94122	3	19
Overall_COI.tsv	C	AFWO3443	6	4	3.71062	3	17
Overall_COI.tsv	C	AFWO3444	7	5	5.87848	3	23
Overall_COI.tsv	C	AMAN031000	3	2	2.47477	2	13
Overall_COI.tsv	C	AMAN031001	1	1	1.82256	1	7
Overall_COI.tsv	C	AMAN031002	1	1	1.93109	1	8
Overall_COI.tsv	C	AMAN031003	1	1	1.85925	1	7
Overall_COI.tsv	C	AMAN031004	1	1	2.18727	1	10
Overall_COI.tsv	C	AMAN031005	1	1	1.58047	1	6
Overall_COI.tsv	C	AMAN031007	1	1	1.78511	1	9
Overall_COI.tsv	C	AMAN031008	1	1	1.68196	1	6
Overall_COI.tsv	C	AMAN031009	1	1	2.25678	1	11
Overall_COI.tsv	C	AMAN031010	2	1	2.44702	1	12
Overall_COI.tsv	C	AMAN031011	1	1	1.80931	1	10
Overall_COI.tsv	C	AMAN031012	1	1	1.86652	1	9
Overall_COI.tsv	C	AMAN031013	1	1	1.96167	1	7
Overall_COI.tsv	C	AMAN031014	1	1	1.87149	1	6.02499999999998
Overall_COI.tsv	C	AMAN031015	1	1	1.77878	1	7
Overall_COI.tsv	C	AMAN031016	1	1	1.66801	1	7
Overall_COI.tsv	C	AMAN031017	2	1	2.07458	1	10
Overall_COI.tsv	C	AMAN031018	3	2	2.44946	2	13
Overall_COI.tsv	C	AMAN031019	1	1	1.9453	1	7.02499999999998
Overall_COI.tsv	C	AMAN031020	1	1	1.97834	1	8.02499999999998
Overall_COI.tsv	C	AMHA1702	2	1	2.97235	1	15
Overall_COI.tsv	C	AMHA1703	1	1	1.50698	1	4
Overall_COI.tsv	C	AMHA1704	3	2	4.43974	2	19
Overall_COI.tsv	C	AMHA1706	2	1	3.31364	1	14.025
Overall_COI.tsv	C	AMHA1707	1	1	2.22937	1	11.025
Overall_COI.tsv	C	AMHA1708	1	1	1.79907	1	7
Overall_COI.tsv	C	AMHA485	1	1	2.05076	1	8.02499999999998
Overall_COI.tsv	C	AMHA4853	1	1	1.98746	1	8
Overall_COI.tsv	C	AMHA4854	2	1	2.3631	1	12
Overall_COI.tsv	C	AMHA4855	2	1	2.10961	1	10
Overall_COI.tsv	C	AMHA4856	2	1	2.77547	1	13
Overall_COI.tsv	C	AMHA4857	1	1	1.60102	1	6
Overall_COI.tsv	C	AMJI031333	1	1	1.66914	1	5
Overall_COI.tsv	C	AMJI031334	2	1	2.19047	1	10
Overall_COI.tsv	C	AMJI031335	1	1	1.88856	1	6.02499999999998
Overall_COI.tsv	C	AMJI031336	4	2	4.17308	2	17
Overall_COI.tsv	C	AMJI031337	1	1	1.75716	1	7
Overall_COI.tsv	C	AMJI031338	2	1	2.39998	1	10
Overall_COI.tsv	C	AMJI031339	3	2	3.54793	2	16
Overall_COI.tsv	C	AMJI031340	3	2	2.35143	2	11
Overall_COI.tsv	C	AMJI031341	1	1	1.53983	1	5.02499999999998
Overall_COI.tsv	C	AMJI031342	2	1	2.81062	1	13
Overall_COI.tsv	C	AMJI031343	6	5	2.89171	3	15
Overall_COI.tsv	C	AMJI031344	2	1	2.06016	1	8
Overall_COI.tsv	C	AMWO031582	2	1	2.70612	1	14
