Region,Genotype,n,x,weighted_prevalence,se,ci_low,ci_high
Afar,pfhrp2+/3+,21,12,0.553864652688653,0.11252309047263405,0.3333234479331483,0.7744058574441578
Afar,pfhrp2+/3-,21,7,0.3501032706678078,0.10860296426239911,0.137245372099215,0.5629611692364005
Afar,pfhrp2-/3-,21,2,0.09603207664353947,0.06703668439813548,0,0.22742156370686312
Amhara,pfhrp2+/3-,103,37,0.3391879487280223,0.04730685853744392,0.2464682097729011,0.4319076876831436
Amhara,pfhrp2-/3-,103,44,0.4509138723343612,0.05077376964916937,0.35139911246265637,0.5504286322060661
Amhara,pfhrp2+/3+,103,18,0.17589495838072758,0.03875756133831251,0.09993153402903306,0.2518583827324221
Amhara,pfhrp2-/3+,103,4,0.03400322055688849,0.0172601386571348,1.739704207367604e-4,0.06783247069304021
Dire Dawa,pfhrp2-/3-,22,3,0.14201655261440888,0.07763557979826537,0,0.29417949293789436
Dire Dawa,pfhrp2+/3-,22,11,0.4891856178750207,0.10946861186794628,0.2746310811762521,0.7037401545737892
Dire Dawa,pfhrp2+/3+,22,7,0.3194703399474138,0.10219813536193527,0.11916567535087141,0.5197750045439562
Dire Dawa,pfhrp2-/3+,22,1,0.049327489563156725,0.04913626754567092,0,0.14563280428739603
Gambela,pfhrp2+/3+,11,11,1,0,1,1
Sidama,pfhrp2+/3-,17,14,0.8265287499411337,0.0948718787684685,0.6405832844092852,1.0124742154729822
Sidama,pfhrp2+/3+,17,3,0.17347125005886627,0.0948718787684685,0,0.3594167155907147
South Ethiopia,pfhrp2+/3+,100,78,0.7790216059619479,0.04178639240549043,0.6971217818033286,0.8609214301205672
South Ethiopia,pfhrp2+/3-,100,16,0.16160942918938795,0.03716162976381649,0.08877397324549594,0.23444488513327996
South Ethiopia,pfhrp2-/3-,100,6,0.0593689648486646,0.023643816497958783,0.013027936055591452,0.10570999364173775
Tigray,pfhrp2-/3-,38,9,0.19820463781647132,0.06330862319390142,0.07412201644560747,0.3222872591873352
Tigray,pfhrp2+/3-,38,20,0.5598396143067776,0.08347159131189845,0.3962383016032103,0.723440927010345
Tigray,pfhrp2-/3+,38,2,0.05736296283001768,0.03991566236107493,0,0.13559622347678554
Tigray,pfhrp2+/3+,38,7,0.18459278504673346,0.06563996756730313,0.05594081266844214,0.3132447574250248
